vf,participantId,rbase,approach,jnd_50_r,jnd_50,jnd_r
conf_bounding_box_perp,ie06rlgu,0.4,above,0.065533824,9.922731129,0.078333333
conf_bounding_box_perp,ie06rlgu,0.4,below,0.089385751,12.38052414,0.086666667
conf_bounding_box_perp,ie06rlgu,0.7,above,0.054612483,11.74581519,0.066666667
conf_bounding_box_perp,ie06rlgu,0.7,below,0.07899155,15.68869578,0.091666667
dist_line_sd,ie06rlgu,0.4,above,0.065533824,1.896149806,0.078333333
dist_line_sd,ie06rlgu,0.4,below,0.089385751,1.792885718,0.086666667
dist_line_sd,ie06rlgu,0.7,above,0.054612483,2.115922933,0.066666667
dist_line_sd,ie06rlgu,0.7,below,0.07899155,2.438593289,0.091666667
ellipse_area,ie06rlgu,0.4,above,0.065533824,2260.215479,0.078333333
ellipse_area,ie06rlgu,0.4,below,0.089385751,2413.781176,0.086666667
ellipse_area,ie06rlgu,0.7,above,0.054612483,4156.633515,0.066666667
ellipse_area,ie06rlgu,0.7,below,0.07899155,4879.579567,0.091666667
ellipse_minor,ie06rlgu,0.4,above,0.065533824,13.14284867,0.078333333
ellipse_minor,ie06rlgu,0.4,below,0.089385751,16.7620852,0.086666667
ellipse_minor,ie06rlgu,0.7,above,0.054612483,15.83232613,0.066666667
ellipse_minor,ie06rlgu,0.7,below,0.07899155,20.26909011,0.091666667
conf_bounding_box_perp,ie1h4v7b,0.3,above,0.108919384,15.09801358,0.088333333
conf_bounding_box_perp,ie1h4v7b,0.3,below,0.205977466,25.53139188,0.270833333
conf_bounding_box_perp,ie1h4v7b,0.6,above,0.056038849,11.2521453,0.065
conf_bounding_box_perp,ie1h4v7b,0.6,below,0.069830106,12.90127713,0.058333333
dist_line_sd,ie1h4v7b,0.3,above,0.108919384,3.13250256,0.088333333
dist_line_sd,ie1h4v7b,0.3,below,0.205977466,4.255561709,0.270833333
dist_line_sd,ie1h4v7b,0.6,above,0.056038849,1.77707761,0.065
dist_line_sd,ie1h4v7b,0.6,below,0.069830106,1.784781255,0.058333333
ellipse_area,ie1h4v7b,0.3,above,0.108919384,3031.18068,0.088333333
ellipse_area,ie1h4v7b,0.3,below,0.205977466,2815.76166,0.270833333
ellipse_area,ie1h4v7b,0.6,above,0.056038849,3268.80734,0.065
ellipse_area,ie1h4v7b,0.6,below,0.069830106,3377.660723,0.058333333
ellipse_minor,ie1h4v7b,0.3,above,0.108919384,20.58575059,0.088333333
ellipse_minor,ie1h4v7b,0.3,below,0.205977466,34.51516843,0.270833333
ellipse_minor,ie1h4v7b,0.6,above,0.056038849,13.94421048,0.065
ellipse_minor,ie1h4v7b,0.6,below,0.069830106,15.89063356,0.058333333
conf_bounding_box_perp,ie1h54iu,0.6,above,0.1101556,20.06634655,0.116666667
conf_bounding_box_perp,ie1h54iu,0.6,below,0.075274284,12.43555522,0.055
conf_bounding_box_perp,ie1h54iu,0.3,above,0.094817763,14.39829994,0.088333333
conf_bounding_box_perp,ie1h54iu,0.3,below,0.15531018,20.72460067,0.19
dist_line_sd,ie1h54iu,0.6,above,0.1101556,3.425544108,0.116666667
dist_line_sd,ie1h54iu,0.6,below,0.075274284,2.191512479,0.055
dist_line_sd,ie1h54iu,0.3,above,0.094817763,2.245213333,0.088333333
dist_line_sd,ie1h54iu,0.3,below,0.15531018,3.96237325,0.19
ellipse_area,ie1h54iu,0.6,above,0.1101556,6856.082602,0.116666667
ellipse_area,ie1h54iu,0.6,below,0.075274284,3533.236174,0.055
ellipse_area,ie1h54iu,0.3,above,0.094817763,2527.68532,0.088333333
ellipse_area,ie1h54iu,0.3,below,0.15531018,2483.085083,0.19
ellipse_minor,ie1h54iu,0.6,above,0.1101556,28.38181246,0.116666667
ellipse_minor,ie1h54iu,0.6,below,0.075274284,16.91734466,0.055
ellipse_minor,ie1h54iu,0.3,above,0.094817763,17.7274634,0.088333333
ellipse_minor,ie1h54iu,0.3,below,0.15531018,26.49972179,0.19
conf_bounding_box_perp,ie1h55k5,0.3,above,0.089212116,13.73999191,0.088333333
conf_bounding_box_perp,ie1h55k5,0.3,below,0.145957131,20.43521079,0.15
conf_bounding_box_perp,ie1h55k5,0.6,above,0.091422865,17.51931981,0.066666667
conf_bounding_box_perp,ie1h55k5,0.6,below,0.101965521,17.48810368,0.066666667
dist_line_sd,ie1h55k5,0.3,above,0.089212116,2.326247101,0.088333333
dist_line_sd,ie1h55k5,0.3,below,0.145957131,2.902775476,0.15
dist_line_sd,ie1h55k5,0.6,above,0.091422865,2.619547337,0.066666667
dist_line_sd,ie1h55k5,0.6,below,0.101965521,2.688093037,0.066666667
ellipse_area,ie1h55k5,0.3,above,0.089212116,2350.377151,0.088333333
ellipse_area,ie1h55k5,0.3,below,0.145957131,2405.611616,0.15
ellipse_area,ie1h55k5,0.6,above,0.091422865,5632.55961,0.066666667
ellipse_area,ie1h55k5,0.6,below,0.101965521,4680.522115,0.066666667
ellipse_minor,ie1h55k5,0.3,above,0.089212116,16.63210884,0.088333333
ellipse_minor,ie1h55k5,0.3,below,0.145957131,25.00149309,0.15
ellipse_minor,ie1h55k5,0.6,above,0.091422865,23.42812831,0.066666667
ellipse_minor,ie1h55k5,0.6,below,0.101965521,22.70123748,0.066666667
conf_bounding_box_perp,ie1h571a,0.6,above,0.067062256,12.57169532,0.046666667
conf_bounding_box_perp,ie1h571a,0.6,below,0.066274792,11.46940634,0.080833333
conf_bounding_box_perp,ie1h571a,0.3,above,0.110243728,15.90307571,0.113333333
