participantId,rbase,approach,jnd_50_r,jnd_r
ie06rlgu,0.4,above,0.065533824,0.078333333
ie06rlgu,0.4,below,0.089385751,0.086666667
ie06rlgu,0.7,above,0.054612483,0.066666667
ie06rlgu,0.7,below,0.07899155,0.091666667
ie1h4v7b,0.3,above,0.108919384,0.088333333
ie1h4v7b,0.3,below,0.205977466,0.270833333
ie1h4v7b,0.6,above,0.056038849,0.065
ie1h4v7b,0.6,below,0.069830106,0.058333333
ie1h54iu,0.6,above,0.1101556,0.116666667
ie1h54iu,0.6,below,0.075274284,0.055
ie1h54iu,0.3,above,0.094817763,0.088333333
ie1h54iu,0.3,below,0.15531018,0.19
ie1h55k5,0.3,above,0.089212116,0.088333333
ie1h55k5,0.3,below,0.145957131,0.15
ie1h55k5,0.6,above,0.091422865,0.066666667
ie1h55k5,0.6,below,0.101965521,0.066666667
ie1h571a,0.6,above,0.067062256,0.046666667
ie1h571a,0.6,below,0.066274792,0.080833333
ie1h571a,0.3,above,0.110243728,0.113333333
ie1h571a,0.3,below,0.088129059,0.091666667
ie1h57n5,0.3,above,0.110225196,0.128333333
ie1h57n5,0.3,below,0.125457812,0.123333333
ie1h57n5,0.6,above,0.053593341,0.03875
ie1h57n5,0.6,below,0.054268831,0.056666667
ie1h59cy,0.6,above,0.105889644,0.118333333
ie1h59cy,0.6,below,0.144082611,0.158333333
ie1h59cy,0.3,above,0.17930374,0.175
ie1h59cy,0.3,below,0.157719665,0.226666667
ie1h5v37,0.6,above,0.099765564,0.128333333
ie1h5v37,0.6,below,0.137396083,0.125
ie1h5v37,0.3,above,0.152256529,0.151666667
ie1h5v37,0.3,below,0.220452334,0.259166667
ie1h7bym,0.3,above,0.234755662,0.27
ie1h7bym,0.3,below,0.14183907,0.158333333
ie1h7bym,0.6,above,0.097254171,0.076666667
ie1h7bym,0.6,below,0.14194994,0.156666667
ie1h8h3y,0.6,above,0.059254828,0.076666667
ie1h8h3y,0.6,below,0.076851619,0.088333333
ie1h8h3y,0.3,above,0.067416103,0.05125
ie1h8h3y,0.3,below,0.119423095,0.176666667
ie1h8sde,0.6,above,0.074895124,0.091666667
ie1h8sde,0.6,below,0.079548457,0.085
ie1h8sde,0.3,above,0.055023712,0.053333333
ie1h8sde,0.3,below,0.112733055,0.091666667
ie1h957j,0.6,above,0.038917927,0.035833333
ie1h957j,0.6,below,0.13079737,0.165
ie1h957j,0.3,above,0.154438032,0.22
ie1h957j,0.3,below,0.245178239,0.292916667
ie1ha1ax,0.6,above,0.105557649,0.083333333
ie1ha1ax,0.6,below,0.140637125,0.165
ie1ha1ax,0.3,above,0.197036903,0.258333333
ie1ha1ax,0.3,below,0.162651664,0.25625
ie1hb9p5,0.3,above,0.124888366,0.108333333
ie1hb9p5,0.3,below,0.084734627,0.108333333
ie1hb9p5,0.6,above,0.054782389,0.05
ie1hb9p5,0.6,below,0.135675472,0.14
ie1hdygi,0.3,above,0.060370028,0.075
ie1hdygi,0.3,below,0.061678893,0.051666667
ie1hdygi,0.6,above,0.057096318,0.066666667
ie1hdygi,0.6,below,0.036143108,0.040416667
ie1hedak,0.3,above,0.076828929,0.066666667
ie1hedak,0.3,below,0.059838982,0.05
ie1hedak,0.6,above,0.066683852,0.075
ie1hedak,0.6,below,0.055862832,0.065
ie1hhyfz,0.6,above,0.083529133,0.060833333
ie1hhyfz,0.6,below,0.082352581,0.086666667
ie1hhyfz,0.3,above,0.215198037,0.165
ie1hhyfz,0.3,below,0.252130178,0.285
ie1hmd45,0.3,above,0.104473345,0.128333333
ie1hmd45,0.3,below,0.102320835,0.081666667
ie1hmd45,0.6,above,0.04735649,0.036666667
ie1hmd45,0.6,below,0.042028498,0.046666667
ie1hnb6e,0.3,above,0.097501881,0.116666667
ie1hnb6e,0.3,below,0.12328988,0.138333333
ie1hnb6e,0.6,above,0.073348335,0.1
