judgmentId,partidipantId,approach,rbase,rv,answer,correctans,rL,rR
1,ie1rxg96,above,0.5,0.6,R,L,0.6,0.5
2,ie1rxg96,above,0.5,0.63,R,R,0.5,0.63
3,ie1rxg96,above,0.5,0.62,R,L,0.62,0.5
4,ie1rxg96,above,0.5,0.65,L,R,0.5,0.65
5,ie1rxg96,above,0.5,0.68,R,L,0.68,0.5
6,ie1rxg96,above,0.5,0.71,L,L,0.71,0.5
7,ie1rxg96,above,0.5,0.7,R,R,0.5,0.7
8,ie1rxg96,above,0.5,0.69,R,R,0.5,0.69
9,ie1rxg96,above,0.5,0.68,L,L,0.68,0.5
10,ie1rxg96,above,0.5,0.67,L,L,0.67,0.5
11,ie1rxg96,above,0.5,0.66,L,R,0.5,0.66
12,ie1rxg96,above,0.5,0.69,L,R,0.5,0.69
13,ie1rxg96,above,0.5,0.72,R,R,0.5,0.72
14,ie1rxg96,above,0.5,0.71,R,R,0.5,0.71
15,ie1rxg96,above,0.5,0.7,R,R,0.5,0.7
16,ie1rxg96,above,0.5,0.69,R,R,0.5,0.69
17,ie1rxg96,above,0.5,0.68,R,R,0.5,0.68
18,ie1rxg96,above,0.5,0.67,R,R,0.5,0.67
19,ie1rxg96,above,0.5,0.66,R,R,0.5,0.66
20,ie1rxg96,above,0.5,0.65,L,L,0.65,0.5
21,ie1rxg96,above,0.5,0.64,L,L,0.64,0.5
22,ie1rxg96,above,0.5,0.63,L,L,0.63,0.5
23,ie1rxg96,above,0.5,0.62,R,R,0.5,0.62
24,ie1rxg96,above,0.5,0.61,R,L,0.61,0.5
25,ie1rxg96,above,0.5,0.64,L,L,0.64,0.5
26,ie1rxg96,above,0.5,0.63,L,L,0.63,0.5
27,ie1rxg96,above,0.5,0.62,L,R,0.5,0.62
28,ie1rxg96,above,0.5,0.65,L,R,0.5,0.65
29,ie1rxg96,above,0.5,0.68,R,R,0.5,0.68
30,ie1rxg96,above,0.5,0.67,R,R,0.5,0.67
31,ie1rxg96,above,0.5,0.66,R,L,0.66,0.5
32,ie1rxg96,above,0.5,0.69,L,L,0.69,0.5
33,ie1rxg96,above,0.5,0.68,R,R,0.5,0.68
34,ie1rxg96,above,0.5,0.67,R,R,0.5,0.67
35,ie1rxg96,above,0.5,0.66,L,L,0.66,0.5
36,ie1rxg96,above,0.5,0.65,L,L,0.65,0.5
37,ie1rxg96,above,0.5,0.64,L,L,0.64,0.5
38,ie1rxg96,above,0.5,0.63,L,L,0.63,0.5
39,ie1rxg96,above,0.5,0.62,L,L,0.62,0.5
40,ie1rxg96,above,0.5,0.61,L,L,0.61,0.5
41,ie1rxg96,above,0.5,0.6,L,R,0.5,0.6
42,ie1rxg96,above,0.5,0.63,R,R,0.5,0.63
43,ie1rxg96,above,0.5,0.62,L,L,0.62,0.5
44,ie1rxg96,above,0.5,0.61,L,L,0.61,0.5
45,ie1rxg96,above,0.5,0.6,L,L,0.6,0.5
46,ie1rxg96,above,0.5,0.59,L,L,0.59,0.5
47,ie1rxg96,above,0.5,0.58,L,L,0.58,0.5
48,ie1rxg96,above,0.5,0.57,L,L,0.57,0.5
49,ie1rxg96,above,0.5,0.56,L,R,0.5,0.56
50,ie1rxg96,above,0.5,0.59,R,L,0.59,0.5
1,ie1rxg96,above,0.8,0.9,L,L,0.9,0.8
2,ie1rxg96,above,0.8,0.89,L,L,0.89,0.8
3,ie1rxg96,above,0.8,0.88,L,L,0.88,0.8
4,ie1rxg96,above,0.8,0.87,L,R,0.8,0.87
5,ie1rxg96,above,0.8,0.9,R,R,0.8,0.9
6,ie1rxg96,above,0.8,0.89,R,R,0.8,0.89
7,ie1rxg96,above,0.8,0.88,L,L,0.88,0.8
8,ie1rxg96,above,0.8,0.87,L,L,0.87,0.8
9,ie1rxg96,above,0.8,0.86,L,L,0.86,0.8
10,ie1rxg96,above,0.8,0.85,L,R,0.8,0.85
11,ie1rxg96,above,0.8,0.88,R,L,0.88,0.8
12,ie1rxg96,above,0.8,0.91,L,L,0.91,0.8
13,ie1rxg96,above,0.8,0.9,R,R,0.8,0.9
14,ie1rxg96,above,0.8,0.89,R,R,0.8,0.89
15,ie1rxg96,above,0.8,0.88,R,R,0.8,0.88
16,ie1rxg96,above,0.8,0.87,L,R,0.8,0.87
17,ie1rxg96,above,0.8,0.9,L,L,0.9,0.8
18,ie1rxg96,above,0.8,0.89,L,L,0.89,0.8
19,ie1rxg96,above,0.8,0.88,L,R,0.8,0.88
20,ie1rxg96,above,0.8,0.91,L,L,0.91,0.8
21,ie1rxg96,above,0.8,0.9,L,L,0.9,0.8
22,ie1rxg96,above,0.8,0.89,R,R,0.8,0.89
23,ie1rxg96,above,0.8,0.88,L,L,0.88,0.8
24,ie1rxg96,above,0.8,0.87,R,R,0.8,0.87
25,ie1rxg96,above,0.8,0.86,L,R,0.8,0.86
26,ie1rxg96,above,0.8,0.89,R,R,0.8,0.89
27,ie1rxg96,above,0.8,0.88,R,L,0.88,0.8
28,ie1rxg96,above,0.8,0.91,L,L,0.91,0.8
29,ie1rxg96,above,0.8,0.9,L,L,0.9,0.8
30,ie1rxg96,above,0.8,0.89,L,L,0.89,0.8
31,ie1rxg96,above,0.8,0.88,R,R,0.8,0.88
32,ie1rxg96,above,0.8,0.87,L,L,0.87,0.8
33,ie1rxg96,above,0.8,0.86,L,L,0.86,0.8
34,ie1rxg96,above,0.8,0.85,L,L,0.85,0.8
35,ie1rxg96,above,0.8,0.84,R,L,0.84,0.8
36,ie1rxg96,above,0.8,0.87,L,R,0.8,0.87
37,ie1rxg96,above,0.8,0.9,L,L,0.9,0.8
38,ie1rxg96,above,0.8,0.89,L,L,0.89,0.8
39,ie1rxg96,above,0.8,0.88,L,L,0.88,0.8
40,ie1rxg96,above,0.8,0.87,R,R,0.8,0.87
41,ie1rxg96,above,0.8,0.86,L,L,0.86,0.8
42,ie1rxg96,above,0.8,0.85,L,L,0.85,0.8
43,ie1rxg96,above,0.8,0.84,R,L,0.84,0.8
44,ie1rxg96,above,0.8,0.87,L,R,0.8,0.87
45,ie1rxg96,above,0.8,0.9,R,R,0.8,0.9
46,ie1rxg96,above,0.8,0.89,R,L,0.89,0.8
47,ie1rxg96,above,0.8,0.92,R,R,0.8,0.92
48,ie1rxg96,above,0.8,0.91,R,R,0.8,0.91
49,ie1rxg96,above,0.8,0.9,R,R,0.8,0.9
50,ie1rxg96,above,0.8,0.89,R,R,0.8,0.89
1,ie1rxg96,below,0.8,0.7,L,R,0.7,0.8
2,ie1rxg96,below,0.8,0.67,R,R,0.67,0.8
3,ie1rxg96,below,0.8,0.68,L,L,0.8,0.68
4,ie1rxg96,below,0.8,0.69,R,R,0.69,0.8
5,ie1rxg96,below,0.8,0.7,R,L,0.8,0.7
6,ie1rxg96,below,0.8,0.67,R,R,0.67,0.8
7,ie1rxg96,below,0.8,0.68,R,R,0.68,0.8
8,ie1rxg96,below,0.8,0.69,R,R,0.69,0.8
9,ie1rxg96,below,0.8,0.7,L,L,0.8,0.7
10,ie1rxg96,below,0.8,0.71,L,L,0.8,0.71
11,ie1rxg96,below,0.8,0.72,L,L,0.8,0.72
12,ie1rxg96,below,0.8,0.73,L,L,0.8,0.73
13,ie1rxg96,below,0.8,0.74,R,R,0.74,0.8
14,ie1rxg96,below,0.8,0.75,L,L,0.8,0.75
15,ie1rxg96,below,0.8,0.76,R,R,0.76,0.8
16,ie1rxg96,below,0.8,0.77,R,R,0.77,0.8
17,ie1rxg96,below,0.8,0.78,L,L,0.8,0.78
18,ie1rxg96,below,0.8,0.79,L,R,0.79,0.8
19,ie1rxg96,below,0.8,0.76,R,L,0.8,0.76
20,ie1rxg96,below,0.8,0.73,L,L,0.8,0.73
21,ie1rxg96,below,0.8,0.74,L,L,0.8,0.74
22,ie1rxg96,below,0.8,0.75,L,L,0.8,0.75
23,ie1rxg96,below,0.8,0.76,R,L,0.8,0.76
